# Server version 0.08 running on 192.168.1.6:8123
# Game ID: 315
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 3000
# First Move Timeout: 30000
# Date: Mon Mar 27 01:42:58 EDT 2017
# Player 1: Player-0, 'mcmcmcmcm', running on localhost
# Player 2: Player-1, '260567881', running on 192.168.1.6
START Player-0 mcmcmcmcm
START Player-1 260567881
PIT 0 2
PIT 1 2
PIT 0 1
PIT 0 3
PIT 0 4
PIT 1 5
PIT 0 5
PIT 1 4
PIT 0 1
PIT 1 3
PIT 0 4
PIT 1 5
PIT 1 1
PIT 0 3
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 1
PIT 1 1
PIT 0 5
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 0
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 0
PIT 1 3
PIT 1 4
PIT 0 0
PIT 1 5
PIT 0 0
GAMEOVER WINNER 0         Player-0 score: 50  Player-1 score: 22
# Game ended: Mon Mar 27 01:43:18 EDT 2017
